Order,Level,Code,Parent,Code_comm,Parent,Description_complex,Description
1659708,5,730424000080,730422000010,7304.24,,"-- Other, of stainless steel","Casing and tubing, seamless, of a kind used for drilling for oil or gas, of stainless steel"
1659709,5,730429000080,730422000010,7304.29,,-- Other,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excl. products of cast iron)"
1659710,4,730431000010,730400000080,,73.04,"- Other, of circular cross-section, of iron or non-alloy steel",
1659711,5,730431000080,730431000010,7304.31,,-- Cold-drawn or cold-rolled (cold-reduced),"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used for drilling for oil or gas)"
1659712,5,730439000080,730431000010,7304.39,,-- Other,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. cast iron products, line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)"
1659713,4,730441000010,730400000080,,73.04,"- Other, of circular cross-section, of stainless steel",
1659714,5,730441000080,730441000010,7304.41,,-- Cold-drawn or cold-rolled (cold-reduced),"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil or gas)"
1659715,5,730449000080,730441000010,7304.49,,-- Other,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)"
1659716,4,730451000010,730400000080,,73.04,"- Other, of circular cross-section, of other alloy steel",
1659717,5,730451000080,730451000010,7304.51,,-- Cold-drawn or cold-rolled (cold-reduced),"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)"
1659718,5,730459000080,730451000010,7304.59,,-- Other,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)"
1659719,4,730490000080,730400000080,7304.9,73.04,- Other,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron)"
1659720,3,730500000080,730021000090,73.05,73,"Other tubes and pipes (for example, welded, riveted or similarly closed), having circular cross-sections, the external diameter of which exceeds 406,4 mm, of iron or steel","Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed"""
1659721,4,730511000010,730500000080,,73.05,- Line pipe of a kind used for oil or gas pipelines,
1659722,5,730511000080,730511000010,7305.11,,-- Longitudinally submerged arc welded,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external diameter of > 406,4 mm, of iron or steel, longitudinally submerged arc welded"
1659723,5,730512000080,730511000010,7305.12,,"-- Other, longitudinally welded","Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external diameter of > 406,4 mm, of iron or steel, longitudinally arc welded (excl. products longitudinally submerged arc welded)"
1659724,5,730519000080,730511000010,7305.19,,-- Other,"Line pipe of a kind used for oil or gas pipelines, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel (excl. products longitudinally arc welded)"
1659725,4,730520000080,730500000080,7305.2,73.05,- Casing of a kind used in drilling for oil or gas,"Casing of a kind used in drilling for oil or gas, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel"
1659726,4,730531000010,730500000080,,73.05,"- Other, welded",
1659727,5,730531000080,730531000010,7305.31,,-- Longitudinally welded,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron or steel, longitudinally welded (excl. products of a kind used for oil or gas pipelines or of a kind used in drilling for oil or gas)"
1659728,5,730539000080,730531000010,7305.39,,-- Other,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron or steel, welded (excl. products longitudinally welded or of a kind used for oil or gas pipelines or of a kind used in drilling for oil or gas)"
1659729,4,730590000080,730500000080,7305.9,73.05,- Other,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel, welded (excl. welded products or products of a kind used for oil or gas pipelines or of a kind used in drilling for oil or gas)"
1659730,3,730600000080,730021000090,73.06,73,"Other tubes, pipes and hollow profiles (for example, open seam or welded, riveted or similarly closed), of iron or steel","Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)"
1659731,4,730611000010,730600000080,,73.06,- Line pipe of a kind used for oil or gas pipelines,
1659732,5,730611000080,730611000010,7306.11,,"-- Welded, of stainless steel","Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm"
1659733,5,730619000080,730611000010,7306.19,,-- Other,"Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)"
1659734,4,730621000010,730600000080,,73.06,- Casing and tubing of a kind used in drilling for oil or gas,
1659735,5,730621000080,730621000010,7306.21,,"-- Welded, of stainless steel","Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm"
1659736,5,730629000080,730621000010,7306.29,,-- Other,"Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron)"
1659737,4,730630000080,730600000080,7306.3,73.06,"- Other, welded, of circular cross-section, of iron or non-alloy steel","Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, or line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)"
1659738,4,730640000080,730600000080,7306.4,73.06,"- Other, welded, of circular cross-section, of stainless steel","Tubes, pipes and hollow profiles, welded, of circular cross-section, of stainless steel (excl. products having internal and external circular cross-sections and an external diameter of > 406,4 mm, and products of a kind used for oil or gas pipelines or of a kind used in drilling for oil or gas)"
1659739,4,730650000080,730600000080,7306.5,73.06,"- Other, welded, of circular cross-section, of other alloy steel","Tubes, pipes and hollow profiles, welded, of circular cross-section, of alloy steel other than stainless (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, and line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas)"
1659740,4,730661000010,730600000080,,73.06,"- Other, welded, of non-circular cross-section",
1659741,5,730661000080,730661000010,7306.61,,-- Of square or rectangular cross-section,"Tubes and pipes and hollow profiles, welded, of square or rectangular cross-section, of iron or steel"
1659742,5,730669000080,730661000010,7306.69,,-- Of other non-circular cross-section,"Tubes, pipes and hollow profiles, welded, of non-circular cross-section, of iron or steel (excl. tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm, line pipe of a kind used for oil or gas pipelines or casing and tubing of a kind used in drilling for oil or gas, and tubes and pipes and hollow profiles of square or rectangular cross-section)"
1659743,4,730690000080,730600000080,7306.9,73.06,- Other,"Tubes, pipes and hollow profiles ""e.g., open seam, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless or welded tubes and pipes and tubes and pipes having internal and external circular cross-sections and an external diameter of > 406,4 mm)"
1659744,3,730700000080,730021000090,73.07,73,"Tube or pipe fittings (for example, couplings, elbows, sleeves), of iron or steel","Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel"
1659745,4,730711000010,730700000080,,73.07,- Cast fittings,
1659746,5,730711000080,730711000010,7307.11,,-- Of non-malleable cast iron,Tube or pipe fittings of non-malleable cast iron
1659747,5,730719000080,730711000010,7307.19,,-- Other,Cast tube or pipe fittings of iron or steel (excl. products of non-malleable cast iron)
1659748,4,730721000010,730700000080,,73.07,"- Other, of stainless steel",
1659749,5,730721000080,730721000010,7307.21,,-- Flanges,Flanges of stainless steel (excl. cast products)
1659750,5,730722000080,730721000010,7307.22,,"-- Threaded elbows, bends and sleeves","Threaded elbows, bends and sleeves of stainless steel (excl. cast products)"
1659751,5,730723000080,730721000010,7307.23,,-- Butt welding fittings,Butt welding tube or pipe fittings of stainless steel (excl. cast products)
1659752,5,730729000080,730721000010,7307.29,,-- Other,"Tube or pipe fittings of stainless steel (excl. cast products, flanges, threaded elbows, bends and sleeves and butt weldings fittings)"
1659753,4,730791000010,730700000080,,73.07,- Other,
1659754,5,730791000080,730791000010,7307.91,,-- Flanges,Flanges of iron or steel (excl. cast or stainless products)
1659755,5,730792000080,730791000010,7307.92,,"-- Threaded elbows, bends and sleeves","Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products)"
1659756,5,730793000080,730791000010,7307.93,,-- Butt welding fittings,"Butt welding fittings of iron or steel (excl. cast iron or stainless steel products, and flanges)"
1659757,5,730799000080,730791000010,7307.99,,-- Other,"Tube or pipe fittings, of iron or steel (excl. cast iron or stainless steel products; flanges; threaded elbows, bends and sleeves; butt welding fittings)"
1659758,3,730800000080,730021000090,73.08,73,"Structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns), of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)"
1659759,4,730810000080,730800000080,7308.1,73.08,- Bridges and bridge-sections,"Bridges and bridge-sections, of iron or steel"
1659760,4,730820000080,730800000080,7308.2,73.08,- Towers and lattice masts,"Towers and lattice masts, of iron or steel"
1659761,4,730830000080,730800000080,7308.3,73.08,"- Doors, windows and their frames and thresholds for doors","Doors, windows and their frames and thresholds for doors, of iron or steel"
1659762,4,730840000080,730800000080,7308.4,73.08,"- Equipment for scaffolding, shuttering, propping or pit-propping","Equipment for scaffolding, shuttering, propping or pit-propping (excl. composite sheetpiling products and formwork panels for poured-in-place concrete, which have the characteristics of moulds)"
1659763,4,730890000080,730800000080,7308.9,73.08,- Other,"Structures and parts of structures, of iron or steel, n.e.s. (excl. bridges and bridge-sections, towers and lattice masts, doors and windows and their frames, thresholds for doors, props and similar equipment for scaffolding, shuttering, propping or pit-propping)"
1659764,3,730900000080,730021000090,7309,73,"Reservoirs, tanks, vats and similar containers for any material (other than compressed or liquefied gas), of iron or steel, of a capacity exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment","Reservoirs, tanks, vats and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of > 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated (excl. containers specifically constructed or equipped for one or more types of transport)"
1659765,3,731000000080,730021000090,73.1,73,"Tanks, casks, drums, cans, boxes and similar containers, for any material (other than compressed or liquefied gas), of iron or steel, of a capacity not exceeding 300 l, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment","Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ""other than compressed or liquefied gas"", of a capacity of <= 300 l, not fitted with mechanical or thermal equipment, whether or not lined or heat-insulated, n.e.s."
1659766,4,731010000080,731000000080,7310.1,73.1,- Of a capacity of 50 l or more,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, of a capacity of >= 50 l but <= 300 l, n.e.s. (excl. containers for compressed or liquefied gas, or containers fitted with mechanical or thermal equipment)"
1659767,4,731021000010,731000000080,,73.1,- Of a capacity of less than 50 l,
1659768,5,731021000080,731021000010,7310.21,,-- Cans which are to be closed by soldering or crimping,"Cans of iron or steel, of a capacity of < 50 l, which are to be closed by soldering or crimping (excl. containers for compressed or liquefied gas)"
1659769,5,731029000080,731021000010,7310.29,,-- Other,"Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material, of a capacity of < 50 l, n.e.s. (excl. containers for compressed or liquefied gas, or containers fitted with mechanical or thermal equipment, and cans which are to be closed by soldering or crimping)"
1659770,3,731100000080,730021000090,7311,73,"Containers for compressed or liquefied gas, of iron or steel","Containers of iron or steel, for compressed or liquefied gas (excl. containers specifically constructed or equipped for one or more types of transport)"
1659771,3,731200000080,730021000090,73.12,73,"Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel, not electrically insulated","Stranded wire, ropes, cables, plaited bands, slings and the like, of iron or steel (excl. electrically insulated products and twisted fencing wire and barbed wire)"
1659772,4,731210000080,731200000080,7312.1,73.12,"- Stranded wire, ropes and cables","Stranded wire, ropes and cables, of iron or steel (excl. electrically insulated products and twisted fencing wire and barbed wire)"
1659773,4,731290000080,731200000080,7312.9,73.12,- Other,"Plaited bands, slings and the like, of iron or steel (excl. electrically insulated products)"
1659774,3,731300000080,730021000090,7313,73,"Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely twisted double wire, of a kind used for fencing, of iron or steel","Barbed wire of iron or steel; twisted hoop or single flat wire, barbed or not, and loosely twisted double wire, of a kind used for fencing, of iron or steel"
1659775,3,731400000080,730021000090,73.14,73,"Cloth (including endless bands), grill, netting and fencing, of iron or steel wire; expanded metal of iron or steel","Cloth, incl. endless bands, grill, netting and fencing, of iron or steel wire, expanded metal of iron or steel (excl. woven products of metal fibres of a kind used for cladding, lining or similar purposes)"
1659776,4,731412000010,731400000080,,73.14,- Woven cloth,
1659777,5,731412000080,731412000010,7314.12,,"-- Endless bands for machinery, of stainless steel","Endless bands of stainless steel wire, for machinery"
1659778,5,731414000080,731412000010,7314.14,,"-- Other woven cloth, of stainless steel","Woven cloth, incl. endless bands, of stainless steel wire (excl. woven products of metal fibres of a kind used for cladding, lining or similar purposes and endless bands for machinery)"
1659779,5,731419000080,731412000010,7314.19,,-- Other,"Woven cloth, incl. endless bands, of iron or steel wire (excl. stainless and woven products of metal fibres of a kind used for cladding, lining or similar purposes)"
1659780,4,731420000080,731400000080,7314.2,73.14,"- Grill, netting and fencing, welded at the intersection, of wire with a maximum cross-sectional dimension of 3 mm or more and having a mesh size of 100 cm² or more","Grill, netting and fencing, welded at the intersection, having a mesh size of >= 100 cm², of iron or steel wire with a maximum cross-sectional dimension of >= 3 mm"
1659781,4,731431000010,731400000080,,73.14,"- Other grill, netting and fencing, welded at the intersection",
1659782,5,731431000080,731431000010,7314.31,,-- Plated or coated with zinc,"Grill, netting and fencing, of iron or steel wire, welded at the intersection, plated or coated with zinc (excl. products of wire with a maximum cross-sectional dimension of >= 3 mm and having a mesh size of >= 100 cm²)"
1659783,5,731439000080,731431000010,7314.39,,-- Other,"Grill, netting and fencing, of iron or steel wire, welded at the intersection (excl. products of wire with a maximum cross-sectional dimension of >= 3 mm and having a mesh size of >= 100 cm², and grill, netting and fencing plated or coated with zinc)"
1659784,4,731441000010,731400000080,,73.14,"- Other cloth, grill, netting and fencing",
1659785,5,731441000080,731441000010,7314.41,,-- Plated or coated with zinc,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection, plated or coated with zinc"
1659786,5,731442000080,731441000010,7314.42,,-- Coated with plastics,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection, coated with plastics"
1659787,5,731449000080,731441000010,7314.49,,-- Other,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection (excl. plated or coated with zinc or coated with plastics)"
1659788,4,731450000080,731400000080,7314.5,73.14,- Expanded metal,"Expanded metal, of iron or steel"
1659789,3,731500000080,730021000090,73.15,73,"Chain and parts thereof, of iron or steel","Chain and parts thereof, or iron or steel (excl. watch chains, necklace chains and the like, cutting and saw chain, skid chain, scraper chain for conveyors, toothed chain for textile machinery and the like, safety devices with chains for securing doors, measuring chains)"
1659790,4,731511000010,731500000080,,73.15,- Articulated link chain and parts thereof,
1659791,5,731511000080,731511000010,7315.11,,-- Roller chain,Roller chain of iron or steel
1659792,5,731512000080,731511000010,7315.12,,-- Other chain,Articulated link chain of iron or steel (excl. roller chain)
1659793,5,731519000080,731511000010,7315.19,,-- Parts,"Parts of articulated link chain, of iron or steel"
1659794,4,731520000080,731500000080,7315.2,73.15,- Skid chain,"Skid chain for motor vehicles, of iron or steel"
1659795,4,731581000010,731500000080,,73.15,- Other chain,
1659796,5,731581000080,731581000010,7315.81,,-- Stud-link,Stud-link of iron or steel
1659797,5,731582000080,731581000010,7315.82,,"-- Other, welded link","Welded link chain of iron or steel (excl. articulated link chain, skid chain and stud-link chain)"
1659798,5,731589000080,731581000010,7315.89,,-- Other,"Chain of iron or steel (excl. articulated link chain, skid chain, stud-link chain, welded link chain and parts thereof; watch chains, necklace chains and the like, cutting and saw chain, skid chain, scraper chain for conveyors, toothed chain for textile machinery and the like, safety devices with chains for securing doors, and measuring chains)"
1659799,4,731590000080,731500000080,7315.9,73.15,- Other parts,"Parts of skid chain, stud-link chain and other chains of heading 7315 (excl. articulated link chain)"
1659800,3,731600000080,730021000090,7316,73,"Anchors, grapnels and parts thereof, of iron or steel","Anchors, grapnels and parts thereof, of iron or steel"
1659801,3,731700000080,730021000090,7317,73,"Nails, tacks, drawing pins, corrugated nails, staples (other than those of heading 8305) and similar articles, of iron or steel, whether or not with heads of other material, but excluding such articles with heads of copper","Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, whether or not with heads of other material (excl. such articles with heads of copper and staples in strips)"
1659802,3,731800000080,730021000090,73.18,73,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers (including spring washers) and similar articles, of iron or steel","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)"
1659803,4,731811000010,731800000080,,73.18,- Threaded articles,
1659804,5,731811000080,731811000010,7318.11,,-- Coach screws,Coach screws of iron or steel
1659805,5,731812000080,731811000010,7318.12,,-- Other wood screws,Wood screws of iron or steel (excl. coach screws)
1659806,5,731813000080,731811000010,7318.13,,-- Screw hooks and screw rings,"Screw hooks and screw rings, of iron or steel"
1659807,5,731814000080,731811000010,7318.14,,-- Self-tapping screws,"Self-tapping screws, of iron or steel (excl. wook screws)"
1659808,5,731815000080,731811000010,7318.15,,"-- Other screws and bolts, whether or not with their nuts or washers","Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. coach screws and other wood screws, screw hooks and screw rings, self-tapping screws, lag screws, stoppers, plugs and the like, threaded)"
1659809,5,731816000080,731811000010,7318.16,,-- Nuts,Nuts of iron or steel
1659810,5,731819000080,731811000010,7318.19,,-- Other,"Threaded articles, of iron or steel, n.e.s."
1659811,4,731821000010,731800000080,,73.18,- Non-threaded articles,
1659812,5,731821000080,731821000010,7318.21,,-- Spring washers and other lock washers,"Spring washers and other lock washers, of iron or steel"
1659813,5,731822000080,731821000010,7318.22,,-- Other washers,Washers of iron or steel (excl. spring washers and other lock washers)
1659814,5,731823000080,731821000010,7318.23,,-- Rivets,Rivets of iron or steel (excl. tubular and bifurcated rivets for particular uses)
1659815,5,731824000080,731821000010,7318.24,,-- Cotters and cotter pins,"Cotters and cotter pins, of iron or steel"
1659816,5,731829000080,731821000010,7318.29,,-- Other,"Non-threaded articles, of iron or steel"
1659817,3,731900000080,730021000090,73.19,73,"Sewing needles, knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, of iron or steel; safety pins and other pins of iron or steel, not elsewhere specified or included","Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar articles, for use in the hand, of iron or steel; safety pins and other pins of iron or steel, n.e.s."
1659818,4,731940000080,731900000080,7319.4,73.19,- Safety pins and other pins,"Safety pins and other pins of iron or steel, n.e.s."
1659819,4,731990000080,731900000080,7319.9,73.19,- Other,"Knitting needles, bodkins, crochet hooks, embroidery stilettos and similar articles, for use in the hand, of iron or steel"
1659820,3,732000000080,730021000090,73.2,73,"Springs and leaves for springs, of iron or steel","Springs and leaves for springs, of iron or steel (excl. clock and watch springs, springs for sticks and handles of umbrellas or parasols, shock absorbers and torque rod or torsion bar springs of Section 17)"
1659821,4,732010000080,732000000080,7320.1,73.2,- Leaf-springs and leaves therefor,"Leaf-springs and leaves therefor, of iron or steel (excl. clock and watch springs and shock absorbers and torque rod or torsion bar springs of Section 17)"
1659822,4,732020000080,732000000080,7320.2,73.2,- Helical springs,"Helical springs, of iron or steel (excl. flat spiral springs, clock and watch springs, springs for sticks and handles of umbrellas or parasols, and shock absorbers of Section 17)"
1659823,4,732090000080,732000000080,7320.9,73.2,- Other,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excl. helical springs, spiral springs, leaf-springs and leaves therefor, clock and watch springs, spring washers and other lock washers and shock absorbers and torque rod or torsion bar springs of Section 17)"
1659824,3,732100000080,730021000090,73.21,73,"Stoves, ranges, grates, cookers (including those with subsidiary boilers for central heating), barbecues, braziers, gas rings, plate warmers and similar non-electric domestic appliances, and parts thereof, of iron or steel","Stoves, ranges, grates, cookers, incl. those with subsidiary boilers for central heating, barbecues, braziers, gas rings, plate warmers and similar non-electric domestic appliances, and parts thereof of iron or steel (excl. boilers and radiators for central heating, geysers and hot water cylinders)"
1659825,4,732111000010,732100000080,,73.21,- Cooking appliances and plate warmers,
1659826,5,732111000080,732111000010,7321.11,,-- For gas fuel or for both gas and other fuels,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of iron or steel, for gas fuel or for both gas and other fuels (excl. large cooking appliances)"
1659827,5,732112000080,732111000010,7321.12,,-- For liquid fuel,"Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of iron or steel, for liquid fuel (excl. large cooking appliances)"
1659828,5,732119000080,732111000010,7321.19,,"-- Other, including appliances for solid fuel","Appliances for baking, frying, grilling and cooking and plate warmers, for domestic use, of iron or steel, for solid fuel or other non-electric source of energy (excl. liquid or gaseous fuel, and large cooking appliances)"
1659829,4,732181000010,732100000080,,73.21,- Other appliances,
1659830,5,732181000080,732181000010,7321.81,,-- For gas fuel or for both gas and other fuels,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, for gas fuel or for both gas and other fuels (excl. cooking appliances, whether or not with oven, separate ovens, plate warmers, central heating boilers, geysers and hot water cylinders and large cooking appliances)"
1659831,5,732182000080,732181000010,7321.82,,-- For liquid fuel,"Stoves, heaters, grates, fires, wash boilers, braziers and similar appliances, of iron or steel, for liquid fuel (excl. cooking appliances, whether or not with oven, separate ovens, plate warmers, central heating boilers, geysers, hot water cylinders and large cooking appliances)"
1659832,5,732189000080,732181000010,7321.89,,"-- Other, including appliances for solid fuel","Stoves, heaters, grates, fires, wash boilers, braziers and similar domestic appliances, of iron or steel, for solid fuel or other non-electricsource of energy (excl. liquid or gaseous fuel, and cooking appliances, whether or not with oven, separate ovens, plate warmers, central heating boilers, hot water cylinders and large cooking appliances)"
1659833,4,732190000080,732100000080,7321.9,73.21,- Parts,"Parts of domestic appliances non-electrically heated of heading 7321, n.e.s."
1659834,3,732200000080,730021000090,73.22,73,"Radiators for central heating, not electrically heated, and parts thereof, of iron or steel; air heaters and hot-air distributors (including distributors which can also distribute fresh or conditioned air), not electrically heated, incorporating a motor-driven fan or blower, and parts thereof, of iron or steel","Radiators for central heating, non-electrically heated, and parts thereof, of iron or steel; air heaters and hot-air distributors, incl. distributors which can also distribute fresh or conditioned air, non-electrically heated, incorporating a motor-driven fan or blower, and parts thereof, of iron or steel"
1659835,4,732211000010,732200000080,,73.22,- Radiators and parts thereof,
1659836,5,732211000080,732211000010,7322.11,,-- Of cast iron,"Radiators for central heating, non-electrically heated, and parts thereof, of iron or steel (excl. parts, elsewhere specified or included, and central-heating boilers)"
1659837,5,732219000080,732211000010,7322.19,,-- Other,"Radiators for central heating, non-electrically heated, and parts thereof, of iron other than cast iron or steel (excl. parts, elsewhere specified or included, and central-heating boilers)"
1659838,4,732290000080,732200000080,7322.9,73.22,- Other,"Air heaters and hot-air distributors, incl. distributors which can also distribute fresh or conditioned air, non-electrically heated, incorporating a motor-driven fan or blower, and parts thereof, of iron or steel"
1659839,3,732300000080,730021000090,73.23,73,"Table, kitchen or other household articles and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel","Table, kitchen or other household articles, and parts thereof, of iron or steel; iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel (excl. cans, boxes and similar containers of heading 7310; waste baskets; shovels, corkscrews and other articles of the nature of a work implement; articles of cutlery, spoons, ladles, forks etc. of heading 8211 to 8215; ornamental articles; sanitary ware)"
1659840,4,732310000080,732300000080,7323.1,73.23,"- Iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like","Iron or steel wool; pot scourers and scouring or polishing pads, gloves and the like, of iron or steel"
1659841,4,732391000010,732300000080,,73.23,- Other,
1659842,5,732391000080,732391000010,7323.91,,"-- Of cast iron, not enamelled","Table, kitchen or other household articles, and parts thereof, of cast iron, not enamelled (excl. cans, boxes and similar containers of heading 7310; waste baskets; shovels, corkscrews and other articles of the nature of a work implement; articles of cutlery, spoons, ladles, forks etc. of heading 8211 to 8215; ornamental articles; sanitary ware)"
1659843,5,732392000080,732391000010,7323.92,,"-- Of cast iron, enamelled","Table, kitchen or other household articles, and parts thereof, of cast iron, enamelled (excl. cans, boxes and similar containers of heading 7310; waste baskets; shovels, corkscrews and other articles of the nature of a work implement; articles of cutlery, spoons, ladles, forks etc. of heading 8211 to 8215; ornamental articles; sanitary ware)"
1659844,5,732393000080,732391000010,7323.93,,-- Of stainless steel,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excl. cans, boxes and similar containers of heading 7310; waste baskets; shovels, corkscrews and other articles of the nature of a work implement; articles of cutlery, spoons, ladles, forks etc. of heading 8211 to 8215; ornamental articles; sanitary ware)"
1659845,5,732394000080,732391000010,7323.94,,"-- Of iron (other than cast iron) or steel, enamelled","Table, kitchen or other household articles, and parts thereof, of iron other than cast iron or steel other than stainless, enamelled (excl. cans, boxes and similar containers of heading 7310; waste baskets; shovels, corkscrews and other articles of the nature of a work implement; articles of cutlery, spoons, ladles, forks etc. of heading 8211 to 8215; ornamental articles; sanitary ware; articles for table use)"
1659846,5,732399000080,732391000010,7323.99,,-- Other,"Table, kitchen or other household articles, and parts thereof, of iron other than cast iron or steel other than stainless (excl. enamelled articles; cans, boxes and similar containers of heading 7310; waste baskets; shovels and other articles of the nature of a work implement; cutlery, spoons, ladles etc. of heading 8211 to 8215; ornamental articles; sanitary ware)"
1659847,3,732400000080,730021000090,73.24,73,"Sanitary ware and parts thereof, of iron or steel","Sanitary ware, and parts thereof, of iron or steel (excl. cans, boxes and similar containers of heading 7310, small wall cabinets for medical supplies or toiletries and other furniture of chapter 94, and fittings)"
1659848,4,732410000080,732400000080,7324.1,73.24,"- Sinks and washbasins, of stainless steel","Sinks and washbasins, of stainless steel"
1659849,4,732421000010,732400000080,,73.24,- Baths,
1659850,5,732421000080,732421000010,7324.21,,"-- Of cast iron, whether or not enamelled","Baths of cast iron, whether or not enamelled"
1659851,5,732429000080,732421000010,7324.29,,-- Other,Baths of steel sheet
